1.000000000,0.000000000, 86860
0.999511480,-.031254537, 86852
0.998046279,-.062478539, 86852
0.995606005,-.093641497, 86852
0.992192864,-.124712951, 86852
0.987810314,-.155662552, 86852
0.982462525,-.186460063, 86852
0.976154864,-.217075378, 86852
0.968893349,-.247478604, 86852
0.960685194,-.277640015, 86852
0.951538324,-.307530135, 86852
0.941461742,-.337119788, 86852
0.930465281,-.366380036, 86852
0.918559670,-.395282298, 86852
0.905756593,-.423798352, 86852
0.892068446,-.451900303, 86852
0.877508700,-.479560733, 86852
0.862091541,-.506752610, 86852
0.845831990,-.533449352, 86852
0.828746080,-.559624851, 86852
0.810850382,-.585253537, 86852
0.792162359,-.610310376, 86852
0.772700369,-.634770930, 86852
0.752483368,-.658611238, 86852
0.731531143,-.681807995, 86852
0.709864199,-.704338610, 86852
0.687503576,-.726180971, 86852
0.664471209,-.747313857, 86852
0.640789628,-.767716527, 86852
0.616481960,-.787369072, 86852
0.591571867,-.806252241, 86852
0.566083789,-.824347675, 86852
0.540042698,-.841637611, 86852
0.513473809,-.858105242, 86852
0.486403257,-.873734415, 86852
0.458857447,-.888509929, 86852
0.430863291,-.902417243, 86852
0.402448118,-.915442765, 86852
0.373639762,-.927573919, 86852
0.344466299,-.938798666, 86852
0.314956248,-.949106216,  2278
0.285138488,-.958486319,  2278
0.255042106,-.966929972,  2278
0.224696532,-.974428773,  2278
0.194131419,-.980975509,  2278
0.163376614,-.986563802,  2278
0.132462174,-.991188049,  2278
0.101418301,-.994843900,  2278
0.070275344,-.997527659,  2278
0.039063722,-.999236703,  2278
0.007813927,-.999969482,  2278
-.023443501,-.999725163, 75351
-.054678023,-.998504043, 75351
-.085859120,-.996307313, 50073
-.116956323,-.993137062, 26527
-.147939250,-.988996446, 26527
-.178777635,-.983889520, 26527
-.209441334,-.977821231, 75351
-.239900395,-.970797539, 26527
-.270125031,-.962825239, 75351
-.300085753,-.953912199, 75351
-.329753280,-.944067180, 75351
-.359098583,-.933299661, 75351
-.388093024,-.921620190, 26527
-.416708261,-.909040272, 75351
-.444916219,-.895572186, 26527
-.472689480,-.881229043, 75351
-.500000894,-.866024911, 75351
-.526823759,-.849974573, 75351
-.553131819,-.833093703, 50073
-.578899503,-.815398872, 50073
-.604101539,-.796907365, 75351
-.628713310,-.777637184, 26527
-.652710795,-.757607162, 75351
-.676070511,-.736836970, 75351
-.698769629,-.715346754, 75351
-.720786035,-.693157613, 75351
-.742098153,-.670291245, 26527
-.762685180,-.646769941, 26527
-.782527030,-.622616649, 75351
-.801604271,-.597855031, 75351
-.819898248,-.572509229, 26527
-.837391198,-.546604097, 26527
-.854065895,-.520164847, 75351
-.869906127,-.493217379, 75351
-.884896338,-.465787977, 75351
-.899021983,-.437903464, 76967
-.912269235,-.409591109, 83359
-.924625099,-.380878538, 83359
-.936077535,-.351793826, 71177
-.946615338,-.322365373, 83359
-.956228197,-.292621940, 83359
-.964906812,-.262592614, 83359
-.972642601,-.232306689, 38208
-.979428053,-.201793790, 38208
-.985256493,-.171083733, 38208
-.990122259,-.140206501, 38208
-.994020641,-.109192282, 38208
-.996947765,-.078071371, 38208
-.998900831,-.046874180, 38208
-.999877810,-.015631190, 38208
-.999877870,0.015627073, 28328
-.998901010,0.046870068, 28328
-.996948123,0.078067265, 28328
-.994021118,0.109188192, 28328
-.990122855,0.140202433, 28328
-.985257208,0.171079680, 28328
-.979428887,0.201789767, 28328
-.972643554,0.232302681, 28328
-.964907885,0.262588620, 28328
-.956229448,0.292618006, 28328
-.946616650,0.322361469, 28328
-.936078966,0.351789981, 28328
-.924626648,0.380874723, 28328
-.912270904,0.409587353, 28328
