 64, 64 ,0000000011111111
 60, 56 ,0000000101111111
 64, 56 ,0000000110111111
 64, 56 ,0000000111101111
 64, 48 ,0000000111111110
 64, 48 ,0000001100111111
 60, 56 ,0000001101011111
 64, 48 ,0000001101101111
 60, 40 ,0000001101111101
 64, 40 ,0000001101111110
 64, 48 ,0000001111001111
 60, 48 ,0000001111010111
 64, 48 ,0000001111011011
 60, 48 ,0000001111011101
 64, 40 ,0000001111011110
 64, 32 ,0000001111111100
 48, 64 ,0000010101011111
 48, 64 ,0000010101110111
 60, 48 ,0000010101111011
 48, 56 ,0000010101111101
 64, 64 ,0000010110101111
 64, 56 ,0000010110111011
 64, 48 ,0000010110111110
 64, 48 ,0000010111111010
 60, 48 ,0000011101110011
 48, 56 ,0000011101110101
 60, 32 ,0000011101111001
 64, 40 ,0000011101111010
 64, 40 ,0000011110110110
 64, 32 ,0000011110111100
 60, 40 ,0000011111010011
 48, 56 ,0000011111010101
 64, 40 ,0000011111011010
 60, 40 ,0000011111110001
 64, 40 ,0000011111110010
 64, 32 ,0000011111111000
 64, 32 ,0000111111110000
 48, 56 ,0001010001011111
 60, 40 ,0001010001101111
 48, 48 ,0001010001111101
 64, 48 ,0001010010111110
 64, 32 ,0001010011101011
 28, 72 ,0001010101010111
 48, 56 ,0001010101011011
 48, 56 ,0001010101011110
 48, 48 ,0001010101101101
 48, 48 ,0001010101111100
 64, 24 ,0001011001101011
 60, 24 ,0001011001101101
 64, 32 ,0001011010111100
 60, 32 ,0001011011000111
 64, 24 ,0001011011001011
 48, 48 ,0001011011010101
 64, 16 ,0001011011101001
 48, 48 ,0001011111010100
 64, 32 ,0001101111100100
 64, 16 ,0001111011100001
 64,  0 ,0011110011000011
  0, 96 ,0101010101010101
